,file_path,tokens,structure,keywords,label
10,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화38_M_1527671642_80_경상_실내_43386.wav,"[('그', 'Noun'), ('해설', 'Noun'), ('하고', 'Josa'), ('그러는', 'Adjective'), ('사람', 'Noun'), ('들', 'Suffix'), ('은', 'Josa'), ('직접', 'Noun'), ('남편', 'Noun'), ('이', 'Josa'), ('차로', 'Noun'), ('태워다', 'Verb'), ('준대', 'Verb')]","[('그', 'Noun'), ('해설', 'Noun'), ('하고', 'Josa'), ('그러는', 'Adjective'), ('사람', 'Noun'), ('들', 'Suffix'), ('은', 'Josa'), ('직접', 'Noun'), ('남편', 'Noun'), ('이', 'Josa'), ('차로', 'Noun'), ('태워다', 'Verb'), ('준대', 'Verb')]","['그', '해설', '사람', '직접', '남편', '차로']","[305, 395, 6167, 6543, 4259, 305, 98, 2195, 3504, 3453, 163, 237, 26, 49, 5228, 4920, 5938, 2484, 131]"
11,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_자유대화_M_1527672611_76_수도권_실내_20201120103641.wav,"[('건강하게', 'Adjective'), ('살자', 'Verb')]","[('건강하게', 'Adjective'), ('살자', 'Verb')]",[],"[17, 2494, 6543, 5, 105, 955]"
12,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화13_F_1535863537_62_전라_실내_16562.wav,"[('큰', 'Verb'), ('솥', 'Noun'), ('에다', 'Josa'), ('한꺼', 'Verb'), ('번', 'Noun'), ('에', 'Josa'), ('해서', 'Verb'), ('딱', 'Adverb'), ('해서', 'Verb'), ('작정', 'Noun'), ('을', 'Josa'), ('하고', 'Verb')]","[('큰', 'Verb'), ('솥', 'Noun'), ('에다', 'Josa'), ('한꺼', 'Verb'), ('번', 'Noun'), ('에', 'Josa'), ('해서', 'Verb'), ('딱', 'Adverb'), ('해서', 'Verb'), ('작정', 'Noun'), ('을', 'Josa'), ('하고', 'Verb')]","['솥', '번', '작정']","[3380, 6062, 5938, 4233, 13, 6062, 395, 3357, 395, 3357, 1998, 6543, 4259]"
13,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화13_F_1544338996_60_수도권_실내_17354.wav,"[('근데', 'Adverb'), ('술', 'Noun'), ('이', 'Josa'), ('몸', 'Noun'), ('에', 'Josa'), ('조금', 'Noun'), ('좋긴', 'Adjective'), ('한', 'Verb'), ('거', 'Noun'), ('같아', 'Adjective')]","[('근데', 'Adverb'), ('술', 'Noun'), ('이', 'Josa'), ('몸', 'Noun'), ('에', 'Josa'), ('조금', 'Noun'), ('좋긴', 'Adjective'), ('한', 'Verb'), ('거', 'Noun'), ('같아', 'Adjective')]","['술', '몸', '조금', '거']","[5351, 15, 127, 26, 80, 6062, 656, 1733, 4233, 1]"
14,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화39_F_1556271619_72_전라_실내_44809.wav,"[('원래', 'Noun'), ('지방', 'Noun'), ('이', 'Josa'), ('차', 'Noun'), ('를', 'Josa'), ('더', 'Noun'), ('가지', 'Noun'), ('고', 'Josa'), ('다녀야', 'Verb'), ('되잖아', 'Verb')]","[('원래', 'Noun'), ('지방', 'Noun'), ('이', 'Josa'), ('차', 'Noun'), ('를', 'Josa'), ('더', 'Noun'), ('가지', 'Noun'), ('고', 'Josa'), ('다녀야', 'Verb'), ('되잖아', 'Verb')]","['원래', '지방', '차', '더', '가지']","[61, 152, 412, 26, 49, 6367, 152, 4259, 5938, 4594, 4740]"
15,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화13_F_1535113643_64_강원_실내_16303.wav,"[('제', 'Noun'), ('아시', 'Noun'), ('는', 'Josa'), ('분', 'Noun'), ('이', 'Josa'), ('젊으신', 'Adjective'), ('주부', 'Noun'), ('인데', 'Josa'), ('일', 'Modifier'), ('년', 'Noun'), ('동안', 'Noun'), ('토마토', 'Noun'), ('랑', 'Josa'), ('뭐', 'Noun'), ('이렇게', 'Adverb')]","[('제', 'Noun'), ('아시', 'Noun'), ('는', 'Josa'), ('분', 'Noun'), ('이', 'Josa'), ('젊으신', 'Adjective'), ('주부', 'Noun'), ('인데', 'Josa'), ('일', 'Modifier'), ('년', 'Noun'), ('동안', 'Noun'), ('토마토', 'Noun'), ('랑', 'Josa'), ('뭐', 'Noun'), ('이렇게', 'Adverb')]","['제', '아시', '분', '주부', '년', '동안', '토마토', '뭐']","[87, 89, 45, 26, 708, 176, 2542, 203, 15, 12, 42, 4604, 144, 1516, 1162, 1516, 24, 26, 5]"
16,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화13_M_1533433293_64_강원_실내_17484.wav,"[('그냥', 'Noun'), ('없는건', 'Adjective'), ('없는대로', 'Adjective'), ('놔', 'Verb'), ('두자', 'Verb')]","[('그냥', 'Noun'), ('없는건', 'Adjective'), ('없는대로', 'Adjective'), ('놔', 'Verb'), ('두자', 'Verb')]",['그냥'],"[305, 608, 17, 131, 5228, 955]"
17,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화13_F_1539719410_60_경상_실내_P06252.wav,"[('왜냐하면', 'Adverb'), ('식구', 'Noun'), ('들', 'Suffix'), ('이', 'Josa'), ('포기', 'Noun'), ('하고', 'Josa'), ('있었거든요', 'Adjective')]","[('왜냐하면', 'Adverb'), ('식구', 'Noun'), ('들', 'Suffix'), ('이', 'Josa'), ('포기', 'Noun'), ('하고', 'Josa'), ('있었거든요', 'Adjective')]","['식구', '포기']","[6543, 362, 209, 167, 2195, 26, 3604, 862, 6543, 4259, 1, 1625]"
18,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화13_F_1539719410_60_경상_실내_16912.wav,"[('우리', 'Noun'), ('가', 'Josa'), ('올라가는', 'Verb'), ('길', 'Noun'), ('하고', 'Josa'), ('내려오는', 'Verb'), ('길이', 'Noun'), ('좀', 'Noun'), ('틀렸어', 'Verb')]","[('우리', 'Noun'), ('가', 'Josa'), ('올라가는', 'Verb'), ('길', 'Noun'), ('하고', 'Josa'), ('내려오는', 'Verb'), ('길이', 'Noun'), ('좀', 'Noun'), ('틀렸어', 'Verb')]","['우리', '길', '길이', '좀']","[5092, 604, 139, 6543, 4259, 8, 48, 139, 26, 5373]"
19,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화38_M_1527671642_80_경상_실내_43011.wav,"[('나름', 'Noun'), ('대로', 'Josa'), ('체력', 'Noun'), ('관리', 'Noun'), ('를', 'Josa'), ('잘', 'Verb'), ('하신', 'Verb'), ('거', 'Noun'), ('같아', 'Adjective')]","[('나름', 'Noun'), ('대로', 'Josa'), ('체력', 'Noun'), ('관리', 'Noun'), ('를', 'Josa'), ('잘', 'Verb'), ('하신', 'Verb'), ('거', 'Noun'), ('같아', 'Adjective')]","['나름', '체력', '관리', '거']","[2, 131, 5228, 3659, 604, 6543, 708, 1]"
20,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_자유대화_M_1527672611_76_수도권_실내_20201121113245.wav,"[('과거', 'Noun'), ('에', 'Josa'), ('집착', 'Noun'), ('하지', 'Verb'), ('말', 'Noun'), ('자', 'Suffix')]","[('과거', 'Noun'), ('에', 'Josa'), ('집착', 'Noun'), ('하지', 'Verb'), ('말', 'Noun'), ('자', 'Suffix')]","['과거', '집착', '말']","[519, 1, 6062, 20, 6543, 152, 10, 955]"
21,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화13_M_1536456816_68_수도권_실내_17204.wav,"[('고모', 'Noun'), ('나이', 'Noun'), ('도', 'Josa'), ('이제', 'Noun'), ('는', 'Josa'), ('육십이', 'Noun'), ('훨씬', 'Adverb'), ('지났잖아', 'Verb')]","[('고모', 'Noun'), ('나이', 'Noun'), ('도', 'Josa'), ('이제', 'Noun'), ('는', 'Josa'), ('육십이', 'Noun'), ('훨씬', 'Adverb'), ('지났잖아', 'Verb')]","['고모', '나이', '이제', '육십이']","[4259, 2791, 2, 26, 771, 26, 87, 196, 14, 26, 152]"
22,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화38_M_1527671642_80_경상_실내_42763.wav,"[('또', 'Noun'), ('애', 'Noun'), ('들', 'Suffix'), ('이', 'Josa'), ('받아', 'Verb'), ('먹기', 'Noun'), ('에는', 'Josa'), ('부담스러워', 'Adjective'), ('하는', 'Verb'), ('거', 'Noun'), ('같아', 'Adjective')]","[('또', 'Noun'), ('애', 'Noun'), ('들', 'Suffix'), ('이', 'Josa'), ('받아', 'Verb'), ('먹기', 'Noun'), ('에는', 'Josa'), ('부담스러워', 'Adjective'), ('하는', 'Verb'), ('거', 'Noun'), ('같아', 'Adjective')]","['또', '애', '먹기', '거']","[25, 2195, 26, 862, 6062, 2542, 4920, 6543, 1]"
23,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_자유대화_M_1527672611_76_수도권_실내_20201122111924.wav,"[('우리', 'Noun'), ('어머니', 'Noun'), ('는', 'Josa'), ('전국', 'Noun'), ('에서', 'Josa'), ('일', 'Noun'), ('등', 'Noun'), ('이야', 'Josa'), ('요', 'Noun')]","[('우리', 'Noun'), ('어머니', 'Noun'), ('는', 'Josa'), ('전국', 'Noun'), ('에서', 'Josa'), ('일', 'Noun'), ('등', 'Noun'), ('이야', 'Josa'), ('요', 'Noun')]","['우리', '어머니', '전국', '일', '등', '요']","[5092, 604, 3654, 370, 39, 693, 6062, 3357, 12, 177, 26, 4594, 1625]"
24,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화13_M_1541760477_77_전라_실내_16493.wav,"[('비닐', 'Noun'), ('에다', 'Josa'), ('몇', 'Noun'), ('겹', 'Noun'), ('해', 'Noun'), ('가지', 'Noun'), ('고', 'Josa'), ('혹시', 'Noun'), ('냄새', 'Noun'), ('날까', 'Verb'), ('봐', 'Verb'), ('또', 'Noun'), ('남자', 'Noun'), ('들', 'Suffix'), ('이', 'Josa')]","[('비닐', 'Noun'), ('에다', 'Josa'), ('몇', 'Noun'), ('겹', 'Noun'), ('해', 'Noun'), ('가지', 'Noun'), ('고', 'Josa'), ('혹시', 'Noun'), ('냄새', 'Noun'), ('날까', 'Verb'), ('봐', 'Verb'), ('또', 'Noun'), ('남자', 'Noun'), ('들', 'Suffix'), ('이', 'Josa')]","['비닐', '몇', '겹', '해', '가지', '혹시', '냄새', '또', '남자']","[345, 6062, 5938, 4545, 1687, 395, 152, 4259, 89, 4532, 58, 163, 955, 2195, 26]"
25,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화13_M_1536456816_68_수도권_실내_16634.wav,"[('과일', 'Noun'), ('농사', 'Noun'), ('를', 'Josa'), ('하시는데', 'Verb'), ('제', 'Noun'), ('시동생', 'Noun'), ('은', 'Josa'), ('국립', 'Noun'), ('농산물', 'Noun'), ('검역', 'Noun'), ('소인', 'Noun'), ('가', 'Josa')]","[('과일', 'Noun'), ('농사', 'Noun'), ('를', 'Josa'), ('하시는데', 'Verb'), ('제', 'Noun'), ('시동생', 'Noun'), ('은', 'Josa'), ('국립', 'Noun'), ('농산물', 'Noun'), ('검역', 'Noun'), ('소인', 'Noun'), ('가', 'Josa')]","['과일', '농사', '제', '시동생', '국립', '농산물', '검역', '소인']","[519, 12, 3144, 98, 6543, 89, 15, 87, 89, 4604, 2291, 3504, 693, 4308, 3144, 122, 73, 5426, 2798, 219, 203]"
26,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화13_F_1527537495_69_강원_실내_16406.wav,"[('이렇게', 'Adverb'), ('해', 'Noun'), ('가지', 'Noun'), ('고', 'Josa'), ('집', 'Noun'), ('에서', 'Josa'), ('하는', 'Verb'), ('거', 'Noun'), ('를', 'Josa'), ('굉장히', 'Adjective'), ('싫어하는', 'Adjective'), ('편이', 'Noun'), ('에요', 'Josa')]","[('이렇게', 'Adverb'), ('해', 'Noun'), ('가지', 'Noun'), ('고', 'Josa'), ('집', 'Noun'), ('에서', 'Josa'), ('하는', 'Verb'), ('거', 'Noun'), ('를', 'Josa'), ('굉장히', 'Adjective'), ('싫어하는', 'Adjective'), ('편이', 'Noun'), ('에요', 'Josa')]","['해', '가지', '집', '거', '편이']","[26, 5, 395, 152, 4259, 20, 6062, 3357, 6543, 1, 185, 6543, 237, 26, 6062, 1625]"
27,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화39_F_1531552733_69_수도권_실내_44802.wav,"[('별로', 'Noun'), ('크지', 'Verb'), ('크지도', 'Verb'), ('않아', 'Verb'), ('사이즈', 'Noun'), ('가', 'Josa'), ('한', 'Verb'), ('이만', 'Noun'), ('한', 'Josa'), ('한가', 'Verb')]","[('별로', 'Noun'), ('크지', 'Verb'), ('크지도', 'Verb'), ('않아', 'Verb'), ('사이즈', 'Noun'), ('가', 'Josa'), ('한', 'Verb'), ('이만', 'Noun'), ('한', 'Josa'), ('한가', 'Verb')]","['별로', '사이즈', '이만']","[987, 5228, 152, 152, 771, 6426, 98, 26, 5751, 4233, 26, 62, 4233, 4233]"
28,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화13_F_1535495676_64_전라_실내_16348.wav,"[('옛날', 'Noun'), ('어른', 'Noun'), ('들', 'Suffix'), ('이', 'Josa'), ('보면', 'Verb'), ('고기', 'Noun'), ('같은', 'Adjective'), ('거', 'Noun'), ('는', 'Josa'), ('드시는데', 'Verb')]","[('옛날', 'Noun'), ('어른', 'Noun'), ('들', 'Suffix'), ('이', 'Josa'), ('보면', 'Verb'), ('고기', 'Noun'), ('같은', 'Adjective'), ('거', 'Noun'), ('는', 'Josa'), ('드시는데', 'Verb')]","['옛날', '어른', '고기', '거']","[58, 2195, 26, 3367, 362, 4259, 862, 3504, 1, 2159, 89, 15]"
29,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화10_F_1527042470_64_충청_실내_11755.wav,"[('그리고', 'Conjunction'), ('우리', 'Noun'), ('고등학교', 'Noun'), ('때', 'Noun'), ('제주도', 'Noun'), ('갔었잖아', 'Verb')]","[('그리고', 'Conjunction'), ('우리', 'Noun'), ('고등학교', 'Noun'), ('때', 'Noun'), ('제주도', 'Noun'), ('갔었잖아', 'Verb')]","['우리', '고등학교', '때', '제주도']","[305, 604, 4259, 5092, 604, 4259, 177, 3159, 7, 87, 176, 771]"
30,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화39_M_1550026972_66_전라_실내_43957.wav,"[('그게', 'Noun'), ('안', 'Noun'), ('되면', 'Verb'), ('최소', 'Noun'), ('일주일', 'Noun'), ('에', 'Josa'), ('한', 'Verb'), ('세', 'Noun'), ('번', 'Noun'), ('정도', 'Noun'), ('는', 'Josa'), ('꼭', 'Noun'), ('가야', 'Noun'), ('되거든', 'Verb')]","[('그게', 'Noun'), ('안', 'Noun'), ('되면', 'Verb'), ('최소', 'Noun'), ('일주일', 'Noun'), ('에', 'Josa'), ('한', 'Verb'), ('세', 'Noun'), ('번', 'Noun'), ('정도', 'Noun'), ('는', 'Josa'), ('꼭', 'Noun'), ('가야', 'Noun'), ('되거든', 'Verb')]","['그게', '안', '최소', '일주일', '세', '번', '정도', '꼭', '가야']","[305, 5, 144, 4740, 362, 5829, 219, 12, 176, 12, 6062, 4233, 956, 13, 1998, 771, 4594, 4740, 1]"
31,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화39_F_1533524660_71_강원_실내_44733.wav,"[('성심당', 'Noun'), ('이', 'Josa'), ('빵집', 'Noun'), ('이', 'Josa'), ('여기', 'Noun'), ('도', 'Josa'), ('있고', 'Adjective'), ('거기', 'Noun'), ('에', 'Josa'), ('본점', 'Noun'), ('도', 'Josa'), ('있대', 'Adjective')]","[('성심당', 'Noun'), ('이', 'Josa'), ('빵집', 'Noun'), ('이', 'Josa'), ('여기', 'Noun'), ('도', 'Josa'), ('있고', 'Adjective'), ('거기', 'Noun'), ('에', 'Josa'), ('본점', 'Noun'), ('도', 'Josa'), ('있대', 'Adjective')]","['성심당', '빵집', '여기', '거기', '본점']","[1096, 3838, 973, 26, 159, 20, 26, 821, 862, 771, 4259, 1, 862, 6062, 5929, 279, 771, 131]"
32,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화13_F_1535495676_64_전라_실내_16910.wav,"[('거기', 'Noun'), ('를', 'Josa'), ('올라갈', 'Verb'), ('수가', 'Noun'), ('없었어', 'Adjective'), ('시간', 'Noun'), ('이', 'Josa'), ('막은', 'Verb'), ('상태', 'Noun'), ('에서', 'Josa'), ('우리', 'Noun'), ('가', 'Josa'), ('올라갔거든', 'Verb')]","[('거기', 'Noun'), ('를', 'Josa'), ('올라갈', 'Verb'), ('수가', 'Noun'), ('없었어', 'Adjective'), ('시간', 'Noun'), ('이', 'Josa'), ('막은', 'Verb'), ('상태', 'Noun'), ('에서', 'Josa'), ('우리', 'Noun'), ('가', 'Josa'), ('올라갔거든', 'Verb')]","['거기', '수가', '시간', '상태', '우리']","[1, 862, 4795, 4, 89, 226, 26, 113, 3504, 867, 6062, 3357, 5092, 604, 1]"
33,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화10_F_1527042470_64_충청_실내_11858.wav,"[('이', 'Noun'), ('사람', 'Noun'), ('이', 'Josa'), ('되게', 'Adverb'), ('센스', 'Noun'), ('가', 'Josa'), ('있고', 'Adjective'), ('눈치', 'Noun'), ('가', 'Josa'), ('있어', 'Adjective')]","[('이', 'Noun'), ('사람', 'Noun'), ('이', 'Josa'), ('되게', 'Adverb'), ('센스', 'Noun'), ('가', 'Josa'), ('있고', 'Adjective'), ('눈치', 'Noun'), ('가', 'Josa'), ('있어', 'Adjective')]","['이', '사람', '센스', '눈치']","[26, 98, 26, 4740, 5, 4259, 59, 4590]"
34,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화39_F_1533571642_63_강원_실내_45188.wav,"[('더', 'Noun'), ('건강', 'Noun'), ('이', 'Josa'), ('중요하다는', 'Adjective'), ('걸', 'Noun'), ('많이', 'Adverb'), ('깨', 'Noun'), ('달았지', 'Verb')]","[('더', 'Noun'), ('건강', 'Noun'), ('이', 'Josa'), ('중요하다는', 'Adjective'), ('걸', 'Noun'), ('많이', 'Adverb'), ('깨', 'Noun'), ('달았지', 'Verb')]","['더', '건강', '걸', '깨']","[6367, 17, 2494, 26, 51, 1625, 6543, 5938, 28, 26, 114, 152]"
35,/Users/shinjeongtae/DB/External SSD for Data/Elderly Speech Recognition/contents/old/data_new/노인남여_노인대화13_M_1541760477_77_전라_실내_17239.wav,"[('나', 'Noun'), ('는', 'Josa'), ('그럼', 'Adjective'), ('배', 'Noun'), ('가', 'Josa'), ('엄청', 'Adverb'), ('불러서', 'Verb'), ('집', 'Noun'), ('에', 'Josa'), ('와서', 'Verb')]","[('나', 'Noun'), ('는', 'Josa'), ('그럼', 'Adjective'), ('배', 'Noun'), ('가', 'Josa'), ('엄청', 'Adverb'), ('불러서', 'Verb'), ('집', 'Noun'), ('에', 'Josa'), ('와서', 'Verb')]","['나', '배', '집']","[2, 305, 230, 4409, 1327, 3357, 20, 6062, 3357]"
